X,CH1,CH2,
-4.37425e-01,5.52e-01,2.64e+00,
-4.37352e-01,5.20e-01,2.62e+00,
-4.37278e-01,4.08e-01,2.64e+00,
-4.37205e-01,4.32e-01,2.62e+00,
-4.37132e-01,4.64e-01,2.62e+00,
-4.37059e-01,4.16e-01,2.62e+00,
-4.36985e-01,4.40e-01,2.64e+00,
-4.36912e-01,4.72e-01,2.64e+00,
-4.36839e-01,4.40e-01,2.62e+00,
-4.36766e-01,4.16e-01,2.64e+00,
-4.36692e-01,4.48e-01,2.62e+00,
-4.36619e-01,4.32e-01,2.62e+00,
-4.36546e-01,4.56e-01,2.62e+00,
-4.36473e-01,4.56e-01,2.62e+00,
-4.36399e-01,4.56e-01,2.64e+00,
-4.36326e-01,4.56e-01,2.62e+00,
-4.36253e-01,4.24e-01,2.62e+00,
-4.36180e-01,4.64e-01,2.62e+00,
-4.36106e-01,4.72e-01,2.64e+00,
-4.36033e-01,4.64e-01,2.64e+00,
-4.35960e-01,4.56e-01,2.62e+00,
-4.35887e-01,4.40e-01,2.64e+00,
-4.35813e-01,4.32e-01,2.64e+00,
-4.35740e-01,4.64e-01,2.62e+00,
-4.35667e-01,4.56e-01,2.64e+00,
-4.35594e-01,4.64e-01,2.64e+00,
-4.35521e-01,4.40e-01,2.62e+00,
-4.35447e-01,4.56e-01,2.64e+00,
-4.35374e-01,4.32e-01,2.64e+00,
-4.35301e-01,4.56e-01,2.62e+00,
-4.35228e-01,4.40e-01,2.62e+00,
-4.35154e-01,4.40e-01,2.64e+00,
-4.35081e-01,4.48e-01,2.64e+00,
-4.35008e-01,4.48e-01,2.64e+00,
-4.34935e-01,4.56e-01,2.64e+00,
-4.34861e-01,4.64e-01,2.62e+00,
-4.34788e-01,4.32e-01,2.64e+00,
-4.34715e-01,4.64e-01,2.64e+00,
-4.34642e-01,4.56e-01,2.62e+00,
-4.34568e-01,4.48e-01,2.64e+00,
-4.34495e-01,4.40e-01,2.62e+00,
-4.34422e-01,4.56e-01,2.64e+00,
-4.34349e-01,4.56e-01,2.64e+00,
