X,CH1,
Second,Volt,
-7.10640e-01,9.60e-01,
-7.10540e-01,9.60e-01,
-7.10440e-01,9.60e-01,
-7.10340e-01,9.60e-01,
-7.10240e-01,9.68e-01,
-7.10140e-01,9.68e-01,
-7.10040e-01,9.68e-01,
-7.09940e-01,9.68e-01,
-7.09840e-01,9.68e-01,
-7.09740e-01,9.60e-01,
-7.09640e-01,9.68e-01,
-7.09540e-01,9.68e-01,
-7.09440e-01,9.68e-01,
-7.09340e-01,9.68e-01,
-7.09240e-01,9.68e-01,
-7.09140e-01,9.60e-01,
-7.09040e-01,9.60e-01,
-7.08940e-01,9.60e-01,
-7.08840e-01,9.60e-01,
-7.08740e-01,9.60e-01,
-7.08640e-01,9.60e-01,
-7.08540e-01,9.60e-01,
-7.08440e-01,9.60e-01,
-7.08340e-01,9.60e-01,
-7.08240e-01,9.60e-01,
-7.08140e-01,9.60e-01,
-7.08040e-01,9.60e-01,
-7.07940e-01,9.52e-01,
-7.07840e-01,9.60e-01,
-7.07740e-01,9.60e-01,
-7.07640e-01,9.52e-01,
-7.07540e-01,9.60e-01,
-7.07440e-01,9.60e-01,
-7.07340e-01,9.60e-01,
-7.07240e-01,9.60e-01,
-7.07140e-01,9.60e-01,
-7.07040e-01,9.68e-01,
-7.06940e-01,9.68e-01,
-7.06840e-01,9.60e-01,
-7.06740e-01,9.68e-01,
-7.06640e-01,9.68e-01,
-7.06540e-01,9.68e-01,
-7.06440e-01,9.68e-01,
-7.06340e-01,9.68e-01,
-7.06240e-01,9.68e-01,
-7.06140e-01,9.68e-01,
-7.06040e-01,9.68e-01,
-7.05940e-01,9.68e-01,
-7.05840e-01,9.68e-01,
-7.05740e-01,9.68e-01,
-7.05640e-01,9.68e-01,
-7.05540e-01,9.60e-01,
-7.05440e-01,9.68e-01,
-7.05340e-01,9.68e-01,
-7.05240e-01,9.60e-01,
-7.05140e-01,9.68e-01,
-7.05040e-01,9.60e-01,
-7.04940e-01,9.68e-01,
-7.04840e-01,9.60e-01,
-7.04740e-01,9.60e-01,
-7.04640e-01,9.60e-01,
-7.04540e-01,9.60e-01,
-7.04440e-01,9.60e-01,
-7.04340e-01,9.60e-01,
-7.04240e-01,9.60e-01,
-7.04140e-01,9.60e-01,
-7.04040e-01,9.60e-01,
-7.03940e-01,9.60e-01,
-7.03840e-01,9.68e-01,
-7.03740e-01,9.68e-01,
-7.03640e-01,9.68e-01,
-7.03540e-01,9.68e-01,
-7.03440e-01,9.76e-01,
-7.03340e-01,9.68e-01,
-7.03240e-01,9.76e-01,
-7.03140e-01,9.68e-01,
-7.03040e-01,9.68e-01,
-7.02940e-01,9.68e-01,
-7.02840e-01,9.68e-01,
-7.02740e-01,9.76e-01,
-7.02640e-01,9.76e-01,
-7.02540e-01,9.68e-01,
-7.02440e-01,9.68e-01,
-7.02340e-01,9.68e-01,
-7.02240e-01,9.68e-01,
-7.02140e-01,9.68e-01,
-7.02040e-01,9.68e-01,
-7.01940e-01,9.68e-01,
-7.01840e-01,9.68e-01,
-7.01740e-01,9.68e-01,
-7.01640e-01,9.68e-01,
-7.01540e-01,9.60e-01,
-7.01440e-01,9.68e-01,
-7.01340e-01,9.68e-01,
-7.01240e-01,9.60e-01,
-7.01140e-01,9.60e-01,
-7.01040e-01,9.60e-01,
-7.00940e-01,9.60e-01,
-7.00840e-01,9.60e-01,
-7.00740e-01,9.60e-01,
-7.00640e-01,9.60e-01,
-7.00540e-01,9.60e-01,
-7.00440e-01,9.60e-01,
-7.00340e-01,9.60e-01,
-7.00240e-01,9.68e-01,
-7.00140e-01,9.68e-01,
-7.00040e-01,9.68e-01,
-6.99940e-01,9.68e-01,
-6.99840e-01,9.68e-01,
-6.99740e-01,9.68e-01,
-6.99640e-01,9.68e-01,
-6.99540e-01,9.76e-01,
-6.99440e-01,9.68e-01,
-6.99340e-01,9.68e-01,
-6.99240e-01,9.68e-01,
-6.99140e-01,9.68e-01,
-6.99040e-01,9.68e-01,
-6.98940e-01,9.68e-01,
-6.98840e-01,9.68e-01,
-6.98740e-01,9.60e-01,
-6.98640e-01,9.60e-01,
-6.98540e-01,9.60e-01,
-6.98440e-01,9.60e-01,
-6.98340e-01,9.60e-01,
-6.98240e-01,9.68e-01,
-6.98140e-01,9.60e-01,
-6.98040e-01,9.60e-01,
-6.97940e-01,9.60e-01,
-6.97840e-01,9.60e-01,
-6.97740e-01,9.60e-01,
-6.97640e-01,9.60e-01,
-6.97540e-01,9.60e-01,
-6.97440e-01,9.60e-01,
-6.97340e-01,9.60e-01,
-6.97240e-01,9.60e-01,
-6.97140e-01,9.60e-01,
-6.97040e-01,9.60e-01,
-6.96940e-01,9.60e-01,
-6.96840e-01,9.68e-01,
-6.96740e-01,9.68e-01,
-6.96640e-01,9.68e-01,
-6.96540e-01,9.68e-01,
-6.96440e-01,9.68e-01,
-6.96340e-01,9.68e-01,
-6.96240e-01,9.76e-01,
-6.96140e-01,9.68e-01,
-6.96040e-01,9.68e-01,
-6.95940e-01,9.68e-01,
-6.95840e-01,9.68e-01,
-6.95740e-01,9.76e-01,
-6.95640e-01,9.68e-01,
-6.95540e-01,9.68e-01,
-6.95440e-01,9.76e-01,
-6.95340e-01,9.68e-01,
-6.95240e-01,9.68e-01,
-6.95140e-01,9.68e-01,
-6.95040e-01,9.68e-01,
-6.94940e-01,9.60e-01,
-6.94840e-01,9.60e-01,
-6.94740e-01,9.52e-01,
-6.94640e-01,9.44e-01,
-6.94540e-01,9.28e-01,
-6.94440e-01,9.20e-01,
-6.94340e-01,9.12e-01,
-6.94240e-01,8.96e-01,
-6.94140e-01,8.88e-01,
-6.94040e-01,8.64e-01,
-6.93940e-01,8.48e-01,
-6.93840e-01,8.32e-01,
-6.93740e-01,8.08e-01,
-6.93640e-01,7.84e-01,
-6.93540e-01,7.60e-01,
-6.93440e-01,7.36e-01,
-6.93340e-01,7.12e-01,
-6.93240e-01,6.64e-01,
-6.93140e-01,6.40e-01,
-6.93040e-01,6.08e-01,
-6.92940e-01,5.76e-01,
-6.92840e-01,5.44e-01,
-6.92740e-01,5.04e-01,
-6.92640e-01,4.64e-01,
-6.92540e-01,4.32e-01,
-6.92440e-01,4.00e-01,
-6.92340e-01,3.68e-01,
-6.92240e-01,3.44e-01,
-6.92140e-01,3.12e-01,
-6.92040e-01,2.88e-01,
-6.91940e-01,2.64e-01,
-6.91840e-01,2.40e-01,
-6.91740e-01,2.16e-01,
-6.91640e-01,1.92e-01,
-6.91540e-01,1.76e-01,
-6.91440e-01,1.60e-01,
-6.91340e-01,1.44e-01,
-6.91240e-01,1.36e-01,
-6.91140e-01,1.20e-01,
-6.91040e-01,1.04e-01,
-6.90940e-01,1.04e-01,
-6.90840e-01,9.60e-02,
-6.90740e-01,8.80e-02,
-6.90640e-01,7.20e-02,
-6.90540e-01,7.20e-02,
-6.90440e-01,5.60e-02,
-6.90340e-01,4.80e-02,
-6.90240e-01,4.00e-02,
-6.90140e-01,4.00e-02,
